lemma	tag	freq
the	DT	27
be	v	24
.	SENT	22
,	,	20
and	CC	13
to	TO	7
we	PP	6
it	PP	6
a	DT	6
with	IN	5
of	IN	4
but	CC	4
make	v	3
hard	a	3
experience	n	3
which	WDT	2
water	n	2
tour	n	2
time	n	2
this	DT	2
site	n	2
service	n	2
rush	v	2
ruin	n	2
room	n	2
restaurant	n	2
n't	r	2
noisy	a	2
leave	v	2
its	PP$	2
I	PP	2
in	IN	2
history	n	2
guide	n	2
from	IN	2
food	n	2
feel	v	2
difficult	a	2
bland	a	2
beach	n	2
about	IN	2
would	MD	1
without	IN	1
wall	n	1
wait	v	1
waiter	n	1
visit	v	1
visit	n	1
vegetation	n	1
unwelcoming	a	1
unsatisfied	a	1
unfriendly	a	1
understand	v	1
truly	r	1
thin	a	1
that	IN/that	1
terribly	r	1
take	v	1
summer	n	1
stunning	a	1
stay	v	1
staff	n	1
spot	n	1
so	r	1
soft	a	1
slow	a	1
sleep	v	1
sign	n	1
significance	n	1
seem	v	1
scatter	v	1
sand	n	1
recommend	v	1
quiet	a	1
preserve	v	1
poor	a	1
place	n	1
pathway	n	1
past	n	1
paradise	n	1
overpriced	a	1
overgrow	v	1
overall	a	1
outdated	a	1
our	PP$	1
not	r	1
neighboring	a	1
neglect	v	1
nearly	r	1
museum	n	1
much	r	1
mediocre	a	1
meal	n	1
majestic	a	1
lovely	a	1
little	a	1
litter	n	1
lighting	n	1
less	r	1
learn	v	1
lack	n	1
know	v	1
informative	a	1
incredibly	r	1
impressive	a	1
impossible	a	1
however	r	1
hotel	n	1
historical	a	1
hear	v	1
have	v	1
golden	a	1
frustrating	a	1
for	IN	1
find	v	1
explore	v	1
expect	v	1
exhibit	n	1
everything	n	1
enjoy	v	1
enjoyable	a	1
do	v	1
disappoint	v	1
disappointment	n	1
disappointingly	r	1
disappointing	a	1
crystal-clear	n	1
crowd	v	1
crowded	a	1
could	MD	1
complete	a	1
comfortably	r	1
clear	a	1
city	n	1
charming	a	1
castle	n	1
captivate	v	1
can	MD	1
by	IN	1
break	v	1
beautifully	r	1
awfully	r	1
away	r	1
atrocious	a	1
atmosphere	n	1
at	IN	1
as	r	1
as	IN	1
around	r	1
architecture	n	1
archaeological	a	1
anyone	n	1
an	DT	1
amount	n	1
admire	v	1
access	n	1
absurd	a	1
